City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
202,pervari,37.9357,42.5493,22.46,40,0,1.67,TR,1688772613
203,fort bragg,35.139,-79.006,29.85,74,0,1.54,US,1688772613
204,kununurra,-15.7667,128.7333,21.99,60,25,4.12,AU,1688772613
205,kikwit,-5.041,18.8162,22.6,36,32,1.05,CD,1688772614
206,antsiranana,-12.2787,49.2917,22.47,70,54,8.32,MG,1688772614
207,hermanus,-34.4187,19.2345,14.33,71,4,12.13,ZA,1688772614
208,dogonbadan,30.3586,50.7981,29.05,28,0,0.0,IR,1688772615
209,sur,22.5667,59.5289,31.21,56,67,3.42,OM,1688772615
210,cacheu,12.2706,-16.1658,25.05,85,94,1.91,GW,1688772615
211,college,64.8569,-147.8028,22.97,64,75,2.06,US,1688772616
212,shenjiamen,29.9576,122.298,24.71,94,100,4.36,CN,1688772616
213,manistee,44.2445,-86.3242,23.01,61,0,3.09,US,1688772616
214,vratimov,49.77,18.3102,17.11,85,0,1.54,CZ,1688772617
215,guichon,-32.35,-57.2,12.71,89,100,5.43,UY,1688772617
216,vilyuchinsk,52.9306,158.4028,15.15,93,100,1.56,RU,1688772617
217,malango,-2.9627,119.9001,19.37,97,100,0.53,ID,1688772618
218,mabini,15.6,120.9833,28.74,72,19,1.6,PH,1688772618
219,polyarnyy,69.1989,33.4478,6.06,86,48,3.19,RU,1688772618
220,sinjai,-5.1241,120.253,26.29,86,100,3.11,ID,1688772619
221,martapura,-3.4167,114.85,23.63,97,100,1.06,ID,1688772619
222,carutapera,-1.195,-46.02,24.27,91,40,2.64,BR,1688772620
223,elko,41.0002,-115.5012,28.01,28,49,4.47,US,1688772620
224,kupang,-10.1667,123.5833,26.32,78,20,4.12,ID,1688772620
225,dublin,37.7021,-121.9358,25.0,63,0,8.23,US,1688772621
226,avarua,-21.2078,-159.775,25.03,88,100,4.63,CK,1688772621
227,amga,60.8953,131.9608,21.39,59,24,4.75,RU,1688772622
228,alexandroupoli,40.8475,25.8744,21.9,83,20,0.0,GR,1688772622
229,lubuklinggau,-3.3,102.8667,22.62,97,95,0.94,ID,1688772622
230,craig,40.5153,-107.5464,27.97,18,100,3.09,US,1688772623
231,arenapolis,-14.4503,-56.8461,24.57,47,0,2.23,BR,1688772623
232,san-pedro,4.7485,-6.6363,23.47,87,94,2.94,CI,1688772623
233,pipirig,47.25,26.0667,17.05,87,100,3.58,RO,1688772624
234,scarborough,54.2797,-0.4044,17.76,71,0,3.13,GB,1688772624
235,ponta delgada,37.7333,-25.6667,18.4,68,20,2.57,PT,1688772624
236,thompson,55.7435,-97.8558,19.09,39,75,4.12,CA,1688772625
